,class
93310,GALAXY
74984,STAR
16208,GALAXY
39960,GALAXY
61947,GALAXY
98465,GALAXY
11119,QSO
42004,STAR
10358,QSO
68634,QSO
11645,GALAXY
56718,QSO
87999,STAR
32997,STAR
88739,QSO
95103,GALAXY
6506,GALAXY
13200,QSO
90325,STAR
42876,GALAXY
37130,GALAXY
5155,GALAXY
20371,GALAXY
27187,STAR
2196,STAR
51278,GALAXY
66814,GALAXY
33258,STAR
12198,STAR
95790,QSO
76100,GALAXY
83992,GALAXY
10935,QSO
11425,QSO
23508,GALAXY
42600,GALAXY
21375,GALAXY
54718,GALAXY
32874,STAR
66151,STAR
39973,GALAXY
97356,GALAXY
18942,GALAXY
60271,GALAXY
37099,GALAXY
19738,GALAXY
22803,GALAXY
22452,QSO
72347,STAR
81000,GALAXY
17409,GALAXY
32248,GALAXY
15890,STAR
30620,STAR
99106,GALAXY
30188,QSO
20962,GALAXY
92977,GALAXY
98230,STAR
46527,GALAXY
59376,STAR
4364,GALAXY
57643,GALAXY
27238,QSO
73989,GALAXY
36804,GALAXY
44100,STAR
41828,QSO
9061,QSO
91461,GALAXY
32148,GALAXY
92182,GALAXY
61348,GALAXY
73026,QSO
47451,STAR
3444,STAR
27459,STAR
77480,GALAXY
75699,GALAXY
82494,STAR
82234,STAR
78439,GALAXY
33615,STAR
97420,STAR
76123,QSO
40373,GALAXY
98965,GALAXY
19887,QSO
85747,STAR
43268,GALAXY
98575,GALAXY
29457,STAR
65272,STAR
68719,GALAXY
3699,STAR
53058,GALAXY
82581,GALAXY
4928,GALAXY
67677,QSO
45045,STAR
7067,QSO
68791,GALAXY
51412,QSO
48394,QSO
47449,STAR
46467,GALAXY
98397,GALAXY
88243,GALAXY
6254,GALAXY
36537,QSO
80199,STAR
67487,GALAXY
97805,QSO
6036,STAR
54927,GALAXY
95380,GALAXY
52477,GALAXY
88270,GALAXY
92553,STAR
37517,QSO
47045,GALAXY
36520,GALAXY
25103,GALAXY
85846,QSO
63085,QSO
1343,QSO
31511,STAR
8019,QSO
29225,STAR
71599,GALAXY
83262,STAR
1823,GALAXY
87438,STAR
7271,QSO
37212,GALAXY
71001,STAR
54284,GALAXY
46797,STAR
35992,GALAXY
22947,GALAXY
84923,GALAXY
59853,GALAXY
31444,STAR
70028,QSO
7479,STAR
36138,GALAXY
48368,GALAXY
80457,QSO
90874,STAR
90304,GALAXY
55774,STAR
21094,STAR
60816,GALAXY
10122,GALAXY
47022,STAR
40014,STAR
95569,GALAXY
57651,QSO
61414,GALAXY
99879,GALAXY
5537,STAR
43640,QSO
20617,GALAXY
67843,GALAXY
5911,QSO
73469,QSO
16435,GALAXY
86591,STAR
15111,GALAXY
8778,STAR
99718,GALAXY
62170,STAR
45661,QSO
13533,GALAXY
23506,QSO
91549,GALAXY
45367,GALAXY
27299,GALAXY
