,class
0,STAR
1,GALAXY
2,GALAXY
3,STAR
4,GALAXY
5,QSO
6,QSO
7,GALAXY
8,STAR
9,QSO
10,QSO
11,GALAXY
12,GALAXY
13,GALAXY
14,STAR
15,STAR
16,GALAXY
17,GALAXY
18,GALAXY
19,GALAXY
20,STAR
21,GALAXY
22,GALAXY
23,STAR
24,STAR
25,GALAXY
26,STAR
27,GALAXY
28,GALAXY
29,STAR
30,QSO
31,GALAXY
32,QSO
33,QSO
34,GALAXY
35,GALAXY
36,STAR
37,GALAXY
38,GALAXY
39,GALAXY
40,GALAXY
41,STAR
42,STAR
43,QSO
44,QSO
45,STAR
46,QSO
47,GALAXY
48,GALAXY
49,GALAXY
50,STAR
51,QSO
52,GALAXY
53,GALAXY
54,GALAXY
55,GALAXY
56,GALAXY
57,GALAXY
58,GALAXY
59,GALAXY
60,QSO
61,GALAXY
62,GALAXY
63,GALAXY
64,QSO
65,STAR
66,STAR
67,STAR
68,STAR
69,GALAXY
70,QSO
71,GALAXY
72,QSO
73,GALAXY
74,QSO
75,STAR
76,STAR
77,GALAXY
78,GALAXY
79,GALAXY
80,GALAXY
81,GALAXY
82,GALAXY
83,QSO
84,QSO
85,GALAXY
86,GALAXY
87,QSO
88,GALAXY
89,GALAXY
90,GALAXY
91,STAR
92,STAR
93,GALAXY
94,GALAXY
95,STAR
96,STAR
97,GALAXY
98,STAR
99,QSO
100,GALAXY
101,GALAXY
102,STAR
103,GALAXY
104,QSO
105,QSO
106,GALAXY
107,GALAXY
108,STAR
109,GALAXY
110,GALAXY
111,GALAXY
112,GALAXY
113,QSO
114,STAR
115,STAR
116,STAR
117,GALAXY
118,GALAXY
119,GALAXY
120,QSO
121,GALAXY
122,GALAXY
123,STAR
124,QSO
125,STAR
126,STAR
127,GALAXY
128,QSO
129,GALAXY
130,GALAXY
131,GALAXY
132,QSO
133,GALAXY
134,GALAXY
135,STAR
136,GALAXY
137,QSO
138,GALAXY
139,GALAXY
140,GALAXY
141,GALAXY
142,GALAXY
143,QSO
144,STAR
145,QSO
146,GALAXY
147,GALAXY
148,STAR
149,STAR
150,GALAXY
151,GALAXY
152,QSO
153,GALAXY
154,GALAXY
155,GALAXY
156,STAR
157,GALAXY
158,GALAXY
159,GALAXY
160,STAR
161,GALAXY
162,GALAXY
163,GALAXY
164,GALAXY
165,QSO
166,GALAXY
167,QSO
168,STAR
169,QSO
170,GALAXY
171,GALAXY
172,QSO
173,GALAXY
174,GALAXY
175,STAR
176,QSO
177,GALAXY
178,GALAXY
179,GALAXY
180,QSO
181,QSO
182,GALAXY
183,STAR
184,QSO
185,STAR
186,QSO
187,GALAXY
188,STAR
189,GALAXY
190,GALAXY
191,STAR
192,STAR
193,QSO
194,GALAXY
195,GALAXY
196,GALAXY
197,STAR
198,QSO
199,STAR
200,QSO
201,QSO
202,GALAXY
203,GALAXY
204,GALAXY
205,GALAXY
206,GALAXY
207,QSO
208,GALAXY
209,STAR
210,STAR
211,STAR
212,QSO
213,QSO
214,STAR
215,GALAXY
216,GALAXY
217,STAR
218,GALAXY
219,QSO
220,GALAXY
221,GALAXY
222,QSO
223,STAR
224,GALAXY
225,GALAXY
226,GALAXY
227,QSO
228,QSO
229,GALAXY
230,STAR
231,GALAXY
232,STAR
233,GALAXY
234,QSO
235,QSO
236,STAR
237,STAR
238,GALAXY
239,GALAXY
240,QSO
241,GALAXY
242,GALAXY
243,STAR
244,STAR
245,QSO
246,GALAXY
247,GALAXY
248,GALAXY
249,STAR
250,STAR
251,GALAXY
252,GALAXY
253,GALAXY
254,GALAXY
255,GALAXY
256,STAR
257,STAR
258,GALAXY
259,GALAXY
260,GALAXY
261,GALAXY
262,GALAXY
263,QSO
264,GALAXY
265,GALAXY
266,GALAXY
267,GALAXY
268,STAR
269,STAR
270,GALAXY
271,QSO
272,GALAXY
273,STAR
274,GALAXY
275,QSO
276,QSO
277,GALAXY
278,QSO
279,STAR
280,GALAXY
281,GALAXY
282,STAR
283,GALAXY
284,GALAXY
285,QSO
286,GALAXY
287,STAR
288,QSO
289,QSO
290,QSO
291,GALAXY
292,GALAXY
293,STAR
294,GALAXY
295,QSO
296,GALAXY
297,QSO
298,GALAXY
299,GALAXY
300,STAR
301,GALAXY
302,GALAXY
303,GALAXY
304,GALAXY
305,STAR
306,STAR
307,GALAXY
308,GALAXY
309,STAR
310,GALAXY
311,GALAXY
312,GALAXY
313,GALAXY
314,QSO
315,STAR
316,GALAXY
317,GALAXY
318,STAR
319,GALAXY
320,GALAXY
321,GALAXY
322,GALAXY
323,GALAXY
324,GALAXY
325,STAR
326,QSO
327,STAR
328,QSO
329,GALAXY
330,STAR
331,GALAXY
332,GALAXY
333,GALAXY
334,STAR
335,QSO
336,QSO
337,STAR
338,GALAXY
339,GALAXY
340,GALAXY
341,GALAXY
342,GALAXY
343,GALAXY
344,GALAXY
345,GALAXY
346,STAR
347,QSO
348,GALAXY
349,STAR
350,GALAXY
351,GALAXY
352,GALAXY
353,GALAXY
354,QSO
355,GALAXY
356,QSO
357,QSO
358,GALAXY
359,GALAXY
360,GALAXY
361,GALAXY
362,GALAXY
363,GALAXY
364,GALAXY
365,STAR
366,QSO
367,STAR
368,GALAXY
369,GALAXY
370,STAR
371,QSO
372,STAR
373,STAR
374,GALAXY
375,GALAXY
376,GALAXY
377,STAR
378,GALAXY
379,GALAXY
380,STAR
381,GALAXY
382,STAR
383,GALAXY
384,GALAXY
385,QSO
386,GALAXY
387,GALAXY
388,GALAXY
389,GALAXY
390,STAR
391,GALAXY
392,STAR
393,QSO
394,GALAXY
395,QSO
396,GALAXY
397,GALAXY
398,GALAXY
399,STAR
400,GALAXY
401,STAR
402,QSO
403,STAR
404,GALAXY
405,GALAXY
406,GALAXY
407,GALAXY
408,STAR
409,QSO
410,QSO
411,GALAXY
412,GALAXY
413,STAR
414,GALAXY
415,GALAXY
416,GALAXY
417,GALAXY
418,GALAXY
419,GALAXY
420,GALAXY
421,STAR
422,GALAXY
423,STAR
424,QSO
425,GALAXY
426,QSO
427,QSO
428,GALAXY
429,GALAXY
430,QSO
431,QSO
432,STAR
433,GALAXY
434,GALAXY
435,GALAXY
436,GALAXY
437,GALAXY
438,GALAXY
439,GALAXY
440,GALAXY
441,STAR
442,GALAXY
443,GALAXY
444,GALAXY
445,GALAXY
446,GALAXY
447,GALAXY
448,GALAXY
449,QSO
450,QSO
451,STAR
452,GALAXY
453,QSO
454,GALAXY
455,GALAXY
456,STAR
457,STAR
458,GALAXY
459,GALAXY
460,GALAXY
461,GALAXY
462,GALAXY
463,GALAXY
464,STAR
465,GALAXY
466,STAR
467,GALAXY
468,GALAXY
