u,g,r,i,z,redshift
23.91435,22.55026,20.7292,19.66414,19.31958,0.6355989
21.98898,20.51439,19.63606,19.20093,19.00031,0.0001453193
23.21782,20.8662,18.9645,18.27476,17.84478,0.3746394
24.34366,20.8632,19.09619,18.35523,17.88448,0.4326819
22.87024,21.22344,19.49433,18.77394,18.36209,0.4294493
23.09946,21.88754,20.35315,19.57431,19.24836,0.463087
24.22316,21.73821,21.5383,21.46581,21.03052,2.430518
22.36738,19.40001,17.86301,16.70368,16.07559,-4.012144e-06
22.30817,21.75868,21.26698,21.03745,20.81933,1.641444
19.82712,19.76492,19.42706,19.53882,19.61955,1.26671
25.08026,21.64108,19.85432,19.02435,18.64041,0.4426232
19.75989,19.21585,19.07538,19.06256,18.90806,2.622873
23.01191,20.07524,18.91103,18.53486,18.30015,0.0001844749
20.28771,18.76039,18.02706,17.68107,17.54729,-0.00062964
20.23733,20.09712,20.07289,19.88158,19.6357,2.126668
21.1304,18.99061,17.73197,17.24029,16.83197,0.1896311
20.33123,18.32451,17.26975,16.82631,16.45966,0.129845
21.78389,21.50928,21.62716,21.5897,21.13988,2.245036
23.23928,24.14087,22.23415,20.76188,19.8005,8.032291e-05
17.76554,16.28469,15.56946,15.19037,14.8485,0.03304891
23.16898,22.21407,20.72125,20.34784,20.04179,0.32928
24.88819,23.00591,21.45498,21.02408,20.63325,0.3595785
25.09827,23.32529,21.30818,20.02989,19.46697,0.7077278
21.72362,20.52186,20.31835,20.21138,20.25524,-0.0001910118
19.80337,18.11151,17.33203,17.03752,16.89563,1.664381e-05
27.23486,22.34513,20.84202,19.8466,19.36534,0.5416996
23.71183,22.77631,20.81856,19.68681,19.26686,0.5345671
21.5721,20.54369,20.2115,20.0493,19.97333,8.53613e-05
20.05093,19.12745,18.83311,18.74148,18.7651,-0.0008363321
20.85511,21.14676,20.63701,20.63653,20.38191,1.242515
22.07054,22.14424,22.22101,22.39528,23.44435,0.0
23.2909,22.55433,21.99833,21.53071,21.35178,0.7763341
20.33972,19.71538,19.37638,19.01243,18.77939,0.4487
22.78156,21.8556,21.0666,20.30894,19.96017,4.913074
22.9034,20.79867,19.01078,18.44592,18.07266,0.3138159
23.33844,22.98089,22.84838,21.60769,22.14812,0.8861881
24.06328,21.9903,20.15725,19.29568,18.80009,0.41065
18.36299,16.88104,16.22277,15.77547,15.50573,0.05985246
22.14247,21.45436,21.09901,21.00713,20.68997,-0.0006336407
22.85734,23.32891,21.58497,20.0906,19.05435,-0.0001446949
20.74719,18.86398,17.79228,17.3206,16.94902,0.119205
17.91138,15.9751,15.10509,14.68176,14.34903,0.05423818
25.46893,22.44142,20.6391,19.55384,18.97557,0.5377759
20.65271,18.87351,17.73764,17.25787,16.92816,0.1562378
22.25692,22.23851,21.84564,21.43466,20.67067,1.111687
24.61908,23.05336,23.02952,22.30191,22.12808,1.050469
22.87432,21.57079,20.0387,19.25419,18.89493,0.5613914
19.58555,19.36084,19.2731,19.3588,19.22491,0.9036869
19.03995,18.07443,17.63075,17.44221,17.32596,-0.0008645905
21.83415,21.01626,20.07187,19.33383,18.87126,0.4848094
26.73586,22.22511,20.70761,19.75039,19.38956,0.5166692
22.82529,23.21694,21.35593,20.30555,19.54688,0.6914924
20.37979,19.44693,19.21223,19.16265,19.19166,0.0004310379
19.47662,18.40261,18.05424,17.94378,17.92116,0.0002029476
26.06575,21.46614,20.20191,19.03263,18.61553,0.5739473
19.98083,19.78916,19.742,19.40689,19.5358,1.849077
19.37069,17.48288,16.47989,16.0453,15.70709,0.1177646
22.91421,22.64249,21.87703,20.94875,20.64907,0.83135
18.98498,17.43463,16.88516,16.69407,16.6244,0.0003204563
23.14799,21.86684,20.29328,19.45617,19.00397,0.4624776
19.92328,18.94611,18.55311,18.42083,18.39381,0.0006760241
22.89275,22.03754,20.79995,19.73795,19.27425,0.6656002
21.1984,18.98282,17.80041,17.31383,16.9418,0.1827124
19.97832,19.74708,19.69508,19.4346,19.34864,1.637604
19.10444,17.86009,17.23061,16.8907,16.65326,0.0877101
22.60018,21.35073,20.17024,19.40536,19.22627,0.5229366
22.16805,20.84831,20.75283,20.74189,20.72307,-0.000389359
20.53243,20.21792,20.2356,20.12453,19.91964,2.095549
22.41822,20.845,20.48268,20.34402,20.22656,2.965708
24.72365,21.87549,20.392,19.55409,19.0231,0.4951436
24.57926,23.42537,21.83975,20.61971,19.90607,0.6576765
